Dataset,bleu_score_summary,bleu_score_watermarked,rouge1_score_summary,rouge1_score_watermarked,rouge2_score_summary,rouge2_score_watermarked,rougeL_score_summary,rougeL_score_watermarked,meteor_score_summary,meteor_score_watermarked
xsum-watermarked-flan-t5-small,9.874261046301397e-05,6.187843215122624e-05,0.0988614868817054,0.08467489477093937,0.022684927437370758,0.018474648993316,0.06542350363328699,0.059556430066285256,0.03780123009763025,0.0313932094280637
xsum-watermarked-t5-small,9.874261046301397e-05,4.734165307907597e-05,0.0988614868817054,0.06842739758323244,0.022684927437370758,0.014265423039238353,0.06542350363328699,0.0486128498795007,0.03780123009763025,0.026464527202163447
cnn_dailymail-watermarked-flan-t5-small,0.001723662023534101,6.4377724734162074e-06,0.15079523413936935,0.0553572214084547,0.08543903215013048,0.02689506165177039,0.10958962961041381,0.04580445304469855,0.06181325599219212,0.01994276989126307
cnn_dailymail-watermarked-t5-small,0.001723662023534101,1.6239824507677768e-05,0.15079523413936935,0.05979613506999883,0.08543903215013048,0.03150130297079892,0.10958962961041381,0.04946925179372787,0.06181325599219212,0.022000825551523794
